ARO Term,ARO Accession,Reference Model Type,Reference DB,Resistomes & Variants: Observed Pathogen(s),AMR Gene Family,Drug Class,Resistance Mechanism
tet(X3),3004719,protein homolog model,Resistomes & Variants,Acinetobacter indicus,tetracycline inactivation enzyme,glycylcycline; tetracycline antibiotic,antibiotic inactivation
tet(Q),3000191,protein homolog model,Resistomes & Variants,Alistipes putredinis; Bacteroides caccae; Bacteroides fragilis; Bacteroides ovatus; Phocaeicola vulgatus; Bacteroides thetaiotaomicron; Butyricimonas faecalis; Parabacteroides distasonis; Phocaeicola dorei; Phocaeicola massiliensis; Porphyromonas gingivalis; Prevotella bivia; Prevotella intermedia; Riemerella anatipestifer; Enterocloster clostridioformis; Eubacterium maltosivorans; Muribaculaceae bacterium,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection
ANT(4')-Ia,3002623,protein homolog model,Resistomes & Variants,Aliarcobacter butzleri; Bacillus subtilis; Enterococcus faecalis; Klebsiella quasipneumoniae; Staphylococcus aureus; Staphylococcus capitis; Staphylococcus epidermidis; Staphylococcus haemolyticus; Staphylococcus hominis; Staphylococcus lugdunensis; Staphylococcus schleiferi; Staphylococcus warneri; Enterococcus faecium; Pseudomonas aeruginosa,ANT(4'),aminoglycoside antibiotic,antibiotic inactivation
catP,3002686,protein homolog model,Resistomes & Variants,Avibacterium paragallinarum; Faecalibacterium prausnitzii; Haemophilus influenzae; Neisseria meningitidis; Pasteurella multocida; Streptococcus agalactiae; Streptococcus pyogenes; Streptococcus suis,chloramphenicol acetyltransferase (CAT),phenicol antibiotic,antibiotic inactivation
armA,3000858,protein homolog model,Resistomes & Variants,Acinetobacter baumannii,16S rRNA methyltransferase (G1405),aminoglycoside antibiotic,antibiotic target alteration
aadA,3002601,protein homolog model,Resistomes & Variants,Acinetobacter baumannii,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation
tet(O/M/O),3007120,protein homolog model,Resistomes & Variants,Campylobacter jejuni; Campylobacter coli,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection
emrR,3000516,protein homolog model,Resistomes & Variants,Cronobacter dublinensis; Klebsiella aerogenes; Klebsiella quasipneumoniae,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic,antibiotic efflux
amrB,3002983,protein homolog model,Resistomes & Variants,Burkholderia pseudomallei,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; aminoglycoside antibiotic,antibiotic efflux
vanY gene in vanD cluster,3002957,protein homolog model,Resistomes & Variants,Blautia producta,vanY; glycopeptide resistance gene cluster,glycopeptide antibiotic,antibiotic target alteration
tet(44),3000556,protein homolog model,Resistomes & Variants,Clostridium perfringens; Erysipelatoclostridium ramosum; Streptococcus suis,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection
tet(32),3000196,protein homolog model,Resistomes & Variants,Collinsella aerofaciens; Erysipelatoclostridium ramosum; Enterocloster clostridioformis,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection
tet(40),3000567,protein homolog model,Resistomes & Variants,Roseburia hominis; Faecalibacterium prausnitzii; Streptococcus suis,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux
Enterobacter cloacae acrA,3004042,protein homolog model,Resistomes & Variants,Enterobacter cloacae; Enterobacter roggenkampii,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,antibiotic efflux
ANT(3'')-IIa,3004089,protein homolog model,Resistomes & Variants,Enterobacter cloacae; Escherichia coli; Enterobacter hormaechei,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation
vanH gene in vanD cluster,3002944,protein homolog model,Resistomes & Variants,Pseudomonas stutzeri; Klebsiella quasipneumoniae,vanH; glycopeptide resistance gene cluster,glycopeptide antibiotic,antibiotic target alteration
mdtA,3000792,protein homolog model,Resistomes & Variants,Escherichia coli; Shigella sonnei; Escherichia marmotae,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminocoumarin antibiotic,antibiotic efflux
eptA,3003576,protein homolog model,Resistomes & Variants,Escherichia coli; Shigella sonnei,pmr phosphoethanolamine transferase,peptide antibiotic,antibiotic target alteration
evgS,3000833,protein homolog model,Resistomes & Variants,Escherichia coli,major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; penam; tetracycline antibiotic,antibiotic efflux
mdtF,3000796,protein homolog model,Resistomes & Variants,Escherichia coli,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; penam,antibiotic efflux
mdtE,3000795,protein homolog model,Resistomes & Variants,Escherichia coli,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; penam,antibiotic efflux
EC-13,3006874,protein homolog model,Resistomes & Variants,Escherichia coli,EC beta-lactamase,cephalosporin,antibiotic inactivation
AcrE,3000499,protein homolog model,Resistomes & Variants,Escherichia coli,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; cephalosporin; cephamycin; penam,antibiotic efflux
emrY,3000254,protein homolog model,Resistomes & Variants,Escherichia coli,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux
AcrS,3000656,protein homolog model,Resistomes & Variants,Escherichia coli,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,antibiotic efflux
mdtO,3003549,protein homolog model,Resistomes & Variants,Escherichia coli,major facilitator superfamily (MFS) antibiotic efflux pump,nucleoside antibiotic; disinfecting agents and antiseptics,antibiotic efflux
mdtN,3003548,protein homolog model,Resistomes & Variants,Escherichia coli,major facilitator superfamily (MFS) antibiotic efflux pump,nucleoside antibiotic; disinfecting agents and antiseptics,antibiotic efflux
aadA2,3002602,protein homolog model,Resistomes & Variants,Escherichia coli,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation
QnrS1,3002790,protein homolog model,Resistomes & Variants,Escherichia coli,quinolone resistance protein (qnr),fluoroquinolone antibiotic,antibiotic target protection
AAC(6')-Ib-cr6,3005116,protein homolog model,Resistomes & Variants,Escherichia coli; Salmonella enterica,AAC(6'); AAC(6')-Ib-cr,fluoroquinolone antibiotic; aminoglycoside antibiotic,antibiotic inactivation
AcrF,3000502,protein homolog model,Resistomes & Variants,Escherichia coli,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; cephalosporin; cephamycin; penam,antibiotic efflux
Klebsiella pneumoniae KpnE,3004580,protein homolog model,Resistomes & Variants,Escherichia coli,small multidrug resistance (SMR) antibiotic efflux pump,macrolide antibiotic; aminoglycoside antibiotic; cephalosporin; tetracycline antibiotic; peptide antibiotic; rifamycin antibiotic; disinfecting agents and antiseptics,antibiotic efflux
emrA,3000027,protein homolog model,Resistomes & Variants,Escherichia coli,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic,antibiotic efflux
aadA7,3002607,protein homolog model,Resistomes & Variants,Salmonella enterica,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation
sdiA,3000826,protein homolog model,Resistomes & Variants,Salmonella enterica,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,antibiotic efflux
marA,3000263,protein homolog model,Resistomes & Variants,Salmonella enterica,resistance-nodulation-cell division (RND) antibiotic efflux pump; General Bacterial Porin with reduced permeability to beta-lactams,fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics,antibiotic efflux; reduced permeability to antibiotic
AAC(3)-IVa,3002539,protein homolog model,Resistomes & Variants,Salmonella enterica; Proteus mirabilis,AAC(3),aminoglycoside antibiotic,antibiotic inactivation
vanY gene in vanF cluster,3002958,protein homolog model,Resistomes & Variants,Faecalibacterium prausnitzii,vanY; glycopeptide resistance gene cluster,glycopeptide antibiotic,antibiotic target alteration
macA,3000533,protein homolog model,Resistomes & Variants,Neisseria gonorrhoeae,ATP-binding cassette (ABC) antibiotic efflux pump,macrolide antibiotic,antibiotic efflux
salE,3007029,protein homolog model,Resistomes & Variants,Staphylococcus saprophyticus,sal-type ABC-F protein,lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; pleuromutilin antibiotic,antibiotic target protection
tet(X4),3004720,protein homolog model,Resistomes & Variants,Riemerella anatipestifer,tetracycline inactivation enzyme,glycylcycline; tetracycline antibiotic,antibiotic inactivation
Streptomyces lividans otr(A),3007127,protein homolog model,Resistomes & Variants,Nocardia terpenica,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection
vanR gene in vanD cluster,3002923,protein homolog model,Resistomes & Variants,Enterococcus faecium,glycopeptide resistance gene cluster; vanR,glycopeptide antibiotic,antibiotic target alteration
FosI,3007370,protein homolog model,Resistomes & Variants,Enterococcus faecium,fosfomycin thiol transferase,phosphonic acid antibiotic,antibiotic inactivation
aad(6),3002628,protein homolog model,Resistomes & Variants,Enterococcus faecium,ANT(6),aminoglycoside antibiotic,antibiotic inactivation
ErmB,3000375,protein homolog model,Resistomes & Variants,Enterococcus faecium,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,antibiotic target alteration
ErmG,3000522,protein homolog model,Resistomes & Variants,Phocaeicola dorei,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,antibiotic target alteration
PRC-1,3007085,protein homolog model,Resistomes & Variants,Pseudomonas mendocina,PRC beta-lactamase,cephalosporin; penam,antibiotic inactivation
tet(O/W/32/O),3007122,protein homolog model,Resistomes & Variants,Streptococcus suis,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection
mexQ,3003699,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; carbapenem; tetracycline antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,antibiotic efflux
mexN,3003705,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,resistance-nodulation-cell division (RND) antibiotic efflux pump,phenicol antibiotic,antibiotic efflux
TEM-71,3000937,protein homolog model,Resistomes & Variants,Xanthomonas oryzae,TEM beta-lactamase,monobactam; cephalosporin; penam; penem,antibiotic inactivation
Rhodobacter sphaeroides ampC beta-lactamase,3004291,protein homolog model,CARD,Cereibacter sphaeroides,ampC-type beta-lactamase,cephalosporin; penam,antibiotic inactivation
aadA16,3002616,protein homolog model,Resistomes & Variants,Aeromonas veronii; Klebsiella pneumoniae; Enterobacter roggenkampii,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation
dfrA17,3002860,protein homolog model,Resistomes & Variants,Escherichia coli,trimethoprim resistant dihydrofolate reductase dfr,diaminopyrimidine antibiotic,antibiotic target replacement
PmpM,3004077,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,multidrug and toxic compound extrusion (MATE) transporter,fluoroquinolone antibiotic; aminoglycoside antibiotic; disinfecting agents and antiseptics,antibiotic efflux
FosB6,3004673,protein homolog model,Resistomes & Variants,Staphylococcus capitis,fosfomycin thiol transferase,phosphonic acid antibiotic,antibiotic inactivation
ESP-1,3003717,protein homolog model,CARD,Chryseobacterium sp.,ESP beta-lactamase,carbapenem,antibiotic inactivation
vanS gene in vanO cluster,3002941,protein homolog model,CARD,Rhodococcus hoagii,vanS; glycopeptide resistance gene cluster,glycopeptide antibiotic,antibiotic target alteration
CcrA,3000578,protein homolog model,Resistomes & Variants,Bacteroides fragilis,CfiA beta-lactamase,carbapenem,antibiotic inactivation
vanE,3002907,protein homolog model,Resistomes & Variants,Enterococcus faecalis,glycopeptide resistance gene cluster; Van ligase,glycopeptide antibiotic,antibiotic target alteration
ACT-15,3001837,protein homolog model,CARD,Enterobacter cloacae,ACT beta-lactamase,carbapenem; cephalosporin; cephamycin; penam,antibiotic inactivation
lmrC,3002881,protein homolog model,CARD,Streptomyces lincolnensis,Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins,lincosamide antibiotic,antibiotic target protection
smeC,3003053,protein homolog model,CARD,Stenotrophomonas maltophilia,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic; cephalosporin; cephamycin; penam,antibiotic efflux
smeA,3003051,protein homolog model,CARD,Stenotrophomonas maltophilia,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic; cephalosporin; cephamycin; penam,antibiotic efflux
tetB(60),3004036,protein homolog model,CARD,uncultured bacterium,ATP-binding cassette (ABC) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux
OXA-651,3005867,protein homolog model,CARD,Acinetobacter johnsonii,OXA beta-lactamase; OXA-211-like beta-lactamase,carbapenem; penam,antibiotic inactivation
Streptomyces rimosus otr(A),3002891,protein homolog model,CARD,Streptomyces rimosus,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection
APH(2'')-If,3004191,protein homolog model,Resistomes & Variants,Campylobacter coli; Campylobacter jejuni; Campylobacter upsaliensis,APH(2''),aminoglycoside antibiotic,antibiotic inactivation
FosA8,3007371,protein homolog model,Resistomes & Variants,Enterobacter cloacae,fosfomycin thiol transferase,phosphonic acid antibiotic,antibiotic inactivation
FosA2,3002804,protein homolog model,Resistomes & Variants,Enterobacter cloacae; Enterobacter hormaechei; Enterobacter asburiae,fosfomycin thiol transferase,phosphonic acid antibiotic,antibiotic inactivation
mdtH,3001216,protein homolog model,Resistomes & Variants,Escherichia coli,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic,antibiotic efflux
mdtM,3001214,protein homolog model,Resistomes & Variants,Escherichia coli,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic; lincosamide antibiotic; nucleoside antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,antibiotic efflux
EC-5,3006880,protein homolog model,Resistomes & Variants,Escherichia coli,EC beta-lactamase,cephalosporin,antibiotic inactivation
mdtG,3001329,protein homolog model,Resistomes & Variants,Escherichia coli,major facilitator superfamily (MFS) antibiotic efflux pump,phosphonic acid antibiotic,antibiotic efflux
aphA15,3004675,protein homolog model,Resistomes & Variants,Escherichia coli,APH(3'),aminoglycoside antibiotic,antibiotic inactivation
vanW gene in vanG cluster,3002965,protein homolog model,Resistomes & Variants,Kocuria palustris,vanW; glycopeptide resistance gene cluster,glycopeptide antibiotic,antibiotic target alteration
mreA,3007050,protein homolog model,Resistomes & Variants,Streptococcus dysgalactiae,major facilitator superfamily (MFS) antibiotic efflux pump,macrolide antibiotic,antibiotic efflux
tet(X),3000205,protein homolog model,Resistomes & Variants,Riemerella anatipestifer,tetracycline inactivation enzyme,glycylcycline; tetracycline antibiotic,antibiotic inactivation
PC1 beta-lactamase (blaZ),3000621,protein homolog model,Resistomes & Variants,Staphylococcus warneri; Staphylococcus aureus; Staphylococcus epidermidis; Staphylococcus capitis,BlaZ beta-lactamase,penam,antibiotic inactivation
ErmT,3000595,protein homolog model,Resistomes & Variants,Enterococcus faecium,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,antibiotic target alteration
ACT-56,3006251,protein homolog model,Resistomes & Variants,Enterobacter hormaechei,ACT beta-lactamase,carbapenem; cephalosporin; cephamycin; penam,antibiotic inactivation
aadA10,3004692,protein homolog model,Resistomes & Variants,Enterobacter hormaechei,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation
TEM-93,3000960,protein homolog model,Resistomes & Variants,Providencia stuartii,TEM beta-lactamase,monobactam; cephalosporin; penam; penem,antibiotic inactivation
MexC,3000800,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin; penam; tetracycline antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic,antibiotic efflux
smeS,3003067,protein homolog model,Resistomes & Variants,Stenotrophomonas maltophilia,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminoglycoside antibiotic; cephalosporin; cephamycin; penam,antibiotic efflux
LRA-1,3002482,protein homolog model,CARD,uncultured bacterium,class A LRA beta-lactamase,cephalosporin; penam,antibiotic inactivation
AxyY,3004144,protein homolog model,Resistomes & Variants,Achromobacter xylosoxidans; Achromobacter insolitus,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin,antibiotic efflux
TEM-84,3000951,protein homolog model,Resistomes & Variants,Klebsiella pneumoniae,TEM beta-lactamase,monobactam; cephalosporin; penam; penem,antibiotic inactivation
OXA-371,3001557,protein homolog model,Resistomes & Variants,Acinetobacter baumannii,OXA beta-lactamase; OXA-51-like beta-lactamase,carbapenem; penam,antibiotic inactivation
Burkholderia pseudomallei Omp38,3004123,protein homolog model,Resistomes & Variants,Burkholderia pseudomallei,General Bacterial Porin with reduced permeability to beta-lactams,monobactam; carbapenem; cephalosporin; cephamycin; penam; penem,reduced permeability to antibiotic
OprJ,3000802,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin; penam; tetracycline antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic,antibiotic efflux
OXA-258,3001503,protein homolog model,Resistomes & Variants,Achromobacter xylosoxidans,OXA beta-lactamase,penam,antibiotic inactivation
tetB(P),3000195,protein homolog model,Resistomes & Variants,Paenibacillus mucilaginosus,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection
23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A),3005099,protein homolog model,Resistomes & Variants,Enterococcus faecalis,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic,antibiotic target alteration
smeE,3003056,protein homolog model,CARD,Stenotrophomonas maltophilia,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic,antibiotic efflux
ceoA,3003009,protein homolog model,CARD,Burkholderia cepacia,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; aminoglycoside antibiotic,antibiotic efflux
lsaC,3003112,protein homolog model,CARD; Resistomes & Variants,Streptococcus agalactiae; Streptococcus anginosus; Streptococcus mitis,lsa-type ABC-F protein,lincosamide antibiotic; streptogramin antibiotic; pleuromutilin antibiotic,antibiotic target protection
farA,3003961,protein homolog model,CARD; Resistomes & Variants,Neisseria meningitidis,major facilitator superfamily (MFS) antibiotic efflux pump,antibacterial free fatty acids,antibiotic efflux
OprZ,3004142,protein homolog model,Resistomes & Variants,Achromobacter xylosoxidans,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin,antibiotic efflux
nimJ,3007112,protein homolog model,Resistomes & Variants,Bacteroides fragilis; Bacteroides thetaiotaomicron,nitroimidazole reductase,nitroimidazole antibiotic,antibiotic inactivation
QepA2,3004103,protein homolog model,Resistomes & Variants,Escherichia coli,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic,antibiotic efflux
QepA4,3004379,protein homolog model,Resistomes & Variants,Escherichia coli,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic,antibiotic efflux
APH(3')-IIb,3002645,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,APH(3'),aminoglycoside antibiotic,antibiotic inactivation
vanO,3002913,protein homolog model,CARD,Rhodococcus hoagii,glycopeptide resistance gene cluster; Van ligase,glycopeptide antibiotic,antibiotic target alteration
PSZ-1,3007648,protein homolog model,CARD,Pantoea sp.,PSZ beta-lactamase,cephalosporin; cephamycin; penam,antibiotic inactivation
catB8,3002680,protein homolog model,Resistomes & Variants,Aeromonas caviae,chloramphenicol acetyltransferase (CAT),phenicol antibiotic,antibiotic inactivation
TEM-206,3001383,protein homolog model,Resistomes & Variants,Escherichia coli,TEM beta-lactamase,monobactam; cephalosporin; penam; penem,antibiotic inactivation
AAC(6')-Ib9,3002580,protein homolog model,Resistomes & Variants,Klebsiella pneumoniae,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation
OXA-926,3005323,protein homolog model,Resistomes & Variants,Klebsiella michiganensis; Klebsiella pneumoniae,OXA beta-lactamase,penam,antibiotic inactivation
AAC(6')-Ia,3002545,protein homolog model,Resistomes & Variants,Enterobacter hormaechei,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation
MCR-9.1,3004684,protein homolog model,Resistomes & Variants,Enterobacter hormaechei,MCR phosphoethanolamine transferase,peptide antibiotic,antibiotic target alteration
tet(Z),3000183,protein homolog model,Resistomes & Variants,Trueperella pyogenes,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux
smeF,3003057,protein homolog model,CARD,Stenotrophomonas maltophilia,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic,antibiotic efflux
rphA,3000444,protein homolog model,CARD,Streptomyces sp.,rifampin phosphotransferase,rifamycin antibiotic,antibiotic inactivation
APH(6)-Ia,3002657,protein homolog model,CARD,Streptomyces griseus,APH(6),aminoglycoside antibiotic,antibiotic inactivation
opcM,3003037,protein homolog model,CARD,Burkholderia cepacia,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; aminoglycoside antibiotic,antibiotic efflux
oleC,3003748,protein homolog model,CARD,Streptomyces antibioticus,ATP-binding cassette (ABC) antibiotic efflux pump,macrolide antibiotic,antibiotic efflux
tet(64),3007494,protein homolog model,CARD,Burkholderia ubonensis,major facilitator superfamily (MFS) antibiotic efflux pump,tetracycline antibiotic,antibiotic efflux
CARB-3,3002242,protein homolog model,Resistomes & Variants,Acinetobacter baumannii; Proteus mirabilis; Salmonella enterica,CARB beta-lactamase,penam,antibiotic inactivation
adeI,3000780,protein homolog model,Resistomes & Variants,Acinetobacter baumannii,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; lincosamide antibiotic; carbapenem; cephalosporin; tetracycline antibiotic; rifamycin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic; penem,antibiotic efflux
adeJ,3000781,protein homolog model,Resistomes & Variants,Acinetobacter baumannii,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; lincosamide antibiotic; carbapenem; cephalosporin; tetracycline antibiotic; rifamycin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic; penem,antibiotic efflux
BLMT,3005036,protein homolog model,Resistomes & Variants,Burkholderia glumae,Bleomycin resistant protein,glycopeptide antibiotic,antibiotic inactivation
ANT(2'')-Ia,3000230,protein homolog model,Resistomes & Variants,Providencia heimbachae; Klebsiella pneumoniae; Klebsiella quasipneumoniae,ANT(2''),aminoglycoside antibiotic,antibiotic inactivation
OXA-571,3005326,protein homolog model,Resistomes & Variants,Ralstonia pickettii,OXA beta-lactamase; OXA-60-like beta-lactamase,carbapenem; penam,antibiotic inactivation
dfrA32,3004555,protein homolog model,Resistomes & Variants,Proteus mirabilis,trimethoprim resistant dihydrofolate reductase dfr,diaminopyrimidine antibiotic,antibiotic target replacement
FAR-1,3004784,protein homolog model,Resistomes & Variants,Nocardia farcinica,FAR beta-lactamase,penam,antibiotic inactivation
MexF,3000804,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic,antibiotic efflux
ErmA,3000347,protein homolog model,Resistomes & Variants,Staphylococcus aureus; Staphylococcus capitis,Erm 23S ribosomal RNA methyltransferase,macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; streptogramin B antibiotic,antibiotic target alteration
kdpD,3004047,protein homolog model,Resistomes & Variants,Staphylococcus aureus,kdpDE,aminoglycoside antibiotic,antibiotic efflux
PDC-151,3006529,protein homolog model,CARD,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
PDC-33,3006699,protein homolog model,CARD,Pseudomonas aeruginosa,PDC beta-lactamase,monobactam; carbapenem; cephalosporin,antibiotic inactivation
adeK,3000782,protein homolog model,Resistomes & Variants,Acinetobacter baumannii,resistance-nodulation-cell division (RND) antibiotic efflux pump,macrolide antibiotic; fluoroquinolone antibiotic; lincosamide antibiotic; carbapenem; cephalosporin; tetracycline antibiotic; rifamycin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic; penem,antibiotic efflux
AAC(6')-Iap,3007204,protein homolog model,Resistomes & Variants,Stenotrophomonas maltophilia,AAC(6'),aminoglycoside antibiotic,antibiotic inactivation
aadA11,3002611,protein homolog model,CARD,Pseudomonas aeruginosa,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation
OXA-420,3003116,protein homolog model,Resistomes & Variants,Acinetobacter towneri,OXA beta-lactamase; OXA-58-like beta-lactamase,carbapenem; penam,antibiotic inactivation
ANT(3'')-IIc,3004091,protein homolog model,Resistomes & Variants,Acinetobacter calcoaceticus; Acinetobacter pittii,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation
ACT-17,3001838,protein homolog model,Resistomes & Variants,Enterobacter hormaechei,ACT beta-lactamase,carbapenem; cephalosporin; cephamycin; penam,antibiotic inactivation
OXA-373,3001559,protein homolog model,CARD,Acinetobacter johnsonii,OXA beta-lactamase; OXA-211-like beta-lactamase,carbapenem; penam,antibiotic inactivation
OXA-280,3001735,protein homolog model,CARD,Acinetobacter johnsonii,OXA beta-lactamase; OXA-211-like beta-lactamase,carbapenem; penam,antibiotic inactivation
adeG,3000778,protein homolog model,Resistomes & Variants,Acinetobacter baumannii,resistance-nodulation-cell division (RND) antibiotic efflux pump,fluoroquinolone antibiotic; tetracycline antibiotic,antibiotic efflux
vanH gene in vanP cluster,3007188,protein homolog model,Resistomes & Variants,Burkholderia multivorans,vanH; glycopeptide resistance gene cluster,glycopeptide antibiotic,antibiotic target alteration
rmtF,3002666,protein homolog model,Resistomes & Variants,Klebsiella pneumoniae,16S rRNA methyltransferase (G1405),aminoglycoside antibiotic,antibiotic target alteration
FosA6,3004111,protein homolog model,Resistomes & Variants,Klebsiella pneumoniae,fosfomycin thiol transferase,phosphonic acid antibiotic,antibiotic inactivation
efpA,3003955,protein homolog model,Resistomes & Variants,Mycobacterium tuberculosis,major facilitator superfamily (MFS) antibiotic efflux pump,rifamycin antibiotic; isoniazid-like antibiotic,antibiotic efflux
aadA6,3002606,protein homolog model,Resistomes & Variants,Pseudomonas aeruginosa; Serratia marcescens,ANT(3''),aminoglycoside antibiotic,antibiotic inactivation
