Protein.identifier	Gene.symbol	Sequence.name	Scope	Element.type	Element.subtype	Class	Subclass	Method	Target.length	Reference.sequence.length	X..Coverage.of.reference.sequence	X..Identity.to.reference.sequence	Alignment.length	Accession.of.closest.sequence	Name.of.closest.sequence	HMM.id	HMM.description	Bin.ID	sample_id	Category	Specifics	Source	module	rack	Percentage.of.reads.mapping.to.taxonomic.identificatioin	Genus	Species	Completeness	Contamination	position
ECKFMF_05530	bla	class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	289	299	92.64	62.86	280	WP_063860834.1	class A beta-lactamase	NF033103.1	class A beta-lactamase	3D1295A_S368_L004_Mapped_To_coassembly_bin.003	3D1295A_S368_L004	ISS	ISS-Internal Surface	3DMM	node 1	2	75.9866	g_Pantoea	s_Pantoea piersonii	99.38	5.83	1
ECKFMF_11205	arsC	glutaredoxin-dependent arsenate reductase	plus	STRESS	METAL	ARSENIC	ARSENATE	HMM	142	141	99.29	73.57	140	AAB09628.1	glutaredoxin-dependent arsenate reductase	NF007456.1	glutaredoxin-dependent arsenate reductase	3D1295A_S368_L004_Mapped_To_coassembly_bin.003	3D1295A_S368_L004	ISS	ISS-Internal Surface	3DMM	node 1	2	75.9866	g_Pantoea	s_Pantoea piersonii	99.38	5.83	1
ECKFMF_14280	mupA	mupirocin-resistant isoleucine--tRNA ligase MupA	core	AMR	AMR	MUPIROCIN	MUPIROCIN	PARTIALP	523	1024	51.07	100	523	WP_000163435.1	mupirocin-resistant isoleucine--tRNA ligase MupA	NA	NA	3D1295A_S368_L004_Mapped_To_coassembly_bin.003	3D1295A_S368_L004	ISS	ISS-Internal Surface	3DMM	node 1	2	75.9866	g_Pantoea	s_Pantoea piersonii	99.38	5.83	1
ENILFF_01880	oqxB	multidrug efflux RND transporter permease subunit OqxB	core	AMR	AMR	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE	BLASTP	1050	1050	99.33	90.22	1043	WP_040224644.1	multidrug efflux RND transporter permease subunit OqxB27	NF000037.1	multidrug efflux RND transporter permease subunit OqxB	GCA_032101165.1_ASM3210116v1_genomic		Enviornmental	Urban	Helmholtz-Centre for Environmental Research - UFZ		NA	NA			NA	NA	1
ENILFF_16115	bla	class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	289	299	92.64	63.57	280	WP_063860834.1	class A beta-lactamase	NF033103.1	class A beta-lactamase	GCA_032101165.1_ASM3210116v1_genomic		Enviornmental	Urban	Helmholtz-Centre for Environmental Research - UFZ		NA	NA			NA	NA	1
FGOKHA_09180	bla	class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	289	299	92.64	62.86	280	WP_063860834.1	class A beta-lactamase	NF033103.1	class A beta-lactamase	GCA_013403215.1_ASM1340321v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
FGOKHA_20570	pcoE	copper resistance system metallochaperone PcoE	plus	STRESS	METAL	COPPER	COPPER	BLASTP	144	144	100	94.44	144	CAA58532.1	copper resistance system metallochaperone PcoE	NA	NA	GCA_013403215.1_ASM1340321v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
FGOKHA_20575	pcoS	copper resistance membrane spanning protein PcoS	plus	STRESS	METAL	COPPER	COPPER	BLASTP	466	466	100	99.36	466	CAA58530.1	copper resistance membrane spanning protein PcoS	NA	NA	GCA_013403215.1_ASM1340321v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
FGOKHA_20580	pcoR	copper response regulator transcription factor PcoR	plus	STRESS	METAL	COPPER	COPPER	EXACTP	226	226	100	100	226	CAA58529.1	copper response regulator transcription factor PcoR	NA	NA	GCA_013403215.1_ASM1340321v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
FGOKHA_20585	pcoD	copper resistance inner membrane protein PcoD	plus	STRESS	METAL	COPPER	COPPER	BLASTP	309	309	100	99.68	309	CAA58528.1	copper resistance inner membrane protein PcoD	NA	NA	GCA_013403215.1_ASM1340321v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
FGOKHA_20590	pcoC	copper resistance system metallochaperone PcoC	plus	STRESS	METAL	COPPER	COPPER	EXACTP	126	126	100	100	126	CAA58527.1	copper resistance system metallochaperone PcoC	NA	NA	GCA_013403215.1_ASM1340321v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
FGOKHA_20595	pcoB	copper-binding protein PcoB	plus	STRESS	METAL	COPPER	COPPER	BLASTP	298	296	100	99.66	296	CAA58526.1	copper-binding protein PcoB	NA	NA	GCA_013403215.1_ASM1340321v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
FGOKHA_20600	pcoA	multicopper oxidase PcoA	plus	STRESS	METAL	COPPER	COPPER	BLASTP	605	605	100	99.83	605	CAA58525.1	multicopper oxidase PcoA	NA	NA	GCA_013403215.1_ASM1340321v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
FGOKHA_20620	silP	Ag(+)-translocating P-type ATPase SilP	plus	STRESS	METAL	SILVER	SILVER	BLASTP	815	824	98.79	95.59	816	AAD11750.1	Ag(+)-translocating P-type ATPase SilP	NA	NA	GCA_013403215.1_ASM1340321v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
FGOKHA_20630	silA	Cu(+)/Ag(+) efflux RND transporter permease subunit SilA	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	1048	1048	100	98.85	1048	AAD11749.1	Cu(+)/Ag(+) efflux RND transporter permease subunit SilA	NA	NA	GCA_013403215.1_ASM1340321v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
FGOKHA_20635	silB	Cu(+)/Ag(+) efflux RND transporter periplasmic adaptor subunit SilB	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	430	430	100	98.14	430	AAD11748.1	Cu(+)/Ag(+) efflux RND transporter periplasmic adaptor subunit SilB	NA	NA	GCA_013403215.1_ASM1340321v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
FGOKHA_20640	silF	Cu(+)/Ag(+) efflux RND transporter periplasmic metallochaperone SilF	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	117	117	100	99.15	117	KGL71342.1	Cu(+)/Ag(+) efflux RND transporter periplasmic metallochaperone SilF	NA	NA	GCA_013403215.1_ASM1340321v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
FGOKHA_20645	silC	Cu(+)/Ag(+) efflux RND transporter outer membrane channel SilC	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	461	461	100	98.26	461	SPD96884.1	Cu(+)/Ag(+) efflux RND transporter outer membrane channel SilC	NA	NA	GCA_013403215.1_ASM1340321v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
FGOKHA_20650	silR	copper/silver response regulator transcription factor SilR	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	226	226	100	98.67	226	SPD96883.1	copper/silver response regulator transcription factor SilR	NA	NA	GCA_013403215.1_ASM1340321v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
FGOKHA_20655	silS	copper/silver sensor histidine kinase SilS	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	491	491	100	98.17	491	SPD96882.1	copper/silver sensor histidine kinase SilS	NA	NA	GCA_013403215.1_ASM1340321v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
FGOKHA_20660	silE	silver-binding protein SilE	plus	STRESS	METAL	SILVER	SILVER	BLASTP	143	143	100	90.21	143	AAD11743.1	silver-binding protein SilE	NA	NA	GCA_013403215.1_ASM1340321v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
FGOKHA_21005	oqxB	multidrug efflux RND transporter permease subunit OqxB	core	AMR	AMR	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE	BLASTP	1050	1050	99.33	90.12	1043	WP_040224644.1	multidrug efflux RND transporter permease subunit OqxB27	NF000037.1	multidrug efflux RND transporter permease subunit OqxB	GCA_013403215.1_ASM1340321v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
FGOKHA_21405	arsC	glutaredoxin-dependent arsenate reductase	plus	STRESS	METAL	ARSENIC	ARSENATE	HMM	142	141	99.29	73.57	140	AAB09628.1	glutaredoxin-dependent arsenate reductase	NF007456.1	glutaredoxin-dependent arsenate reductase	GCA_013403215.1_ASM1340321v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology		NA	NA			NA	NA	1
FHHCFB_00955	oqxB	multidrug efflux RND transporter permease subunit OqxB	core	AMR	AMR	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE	BLASTP	1050	1050	99.33	90.12	1043	WP_040224644.1	multidrug efflux RND transporter permease subunit OqxB27	NF000037.1	multidrug efflux RND transporter permease subunit OqxB	GCA_036880625.1_ASM3688062v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 3	NA	NA			NA	NA	1
FHHCFB_08670	pcoE	copper resistance system metallochaperone PcoE	plus	STRESS	METAL	COPPER	COPPER	BLASTP	144	144	100	94.44	144	CAA58532.1	copper resistance system metallochaperone PcoE	NA	NA	GCA_036880625.1_ASM3688062v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 3	NA	NA			NA	NA	1
FHHCFB_08675	pcoS	copper resistance membrane spanning protein PcoS	plus	STRESS	METAL	COPPER	COPPER	BLASTP	466	466	100	99.36	466	CAA58530.1	copper resistance membrane spanning protein PcoS	NA	NA	GCA_036880625.1_ASM3688062v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 3	NA	NA			NA	NA	1
FHHCFB_08680	pcoR	copper response regulator transcription factor PcoR	plus	STRESS	METAL	COPPER	COPPER	EXACTP	226	226	100	100	226	CAA58529.1	copper response regulator transcription factor PcoR	NA	NA	GCA_036880625.1_ASM3688062v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 3	NA	NA			NA	NA	1
FHHCFB_08685	pcoD	copper resistance inner membrane protein PcoD	plus	STRESS	METAL	COPPER	COPPER	BLASTP	309	309	100	99.68	309	CAA58528.1	copper resistance inner membrane protein PcoD	NA	NA	GCA_036880625.1_ASM3688062v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 3	NA	NA			NA	NA	1
FHHCFB_08690	pcoC	copper resistance system metallochaperone PcoC	plus	STRESS	METAL	COPPER	COPPER	EXACTP	126	126	100	100	126	CAA58527.1	copper resistance system metallochaperone PcoC	NA	NA	GCA_036880625.1_ASM3688062v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 3	NA	NA			NA	NA	1
FHHCFB_08695	pcoB	copper-binding protein PcoB	plus	STRESS	METAL	COPPER	COPPER	BLASTP	298	296	100	99.66	296	CAA58526.1	copper-binding protein PcoB	NA	NA	GCA_036880625.1_ASM3688062v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 3	NA	NA			NA	NA	1
FHHCFB_08700	pcoA	multicopper oxidase PcoA	plus	STRESS	METAL	COPPER	COPPER	BLASTP	605	605	100	99.83	605	CAA58525.1	multicopper oxidase PcoA	NA	NA	GCA_036880625.1_ASM3688062v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 3	NA	NA			NA	NA	1
FHHCFB_08720	silP	Ag(+)-translocating P-type ATPase SilP	plus	STRESS	METAL	SILVER	SILVER	BLASTP	815	824	98.79	95.59	816	AAD11750.1	Ag(+)-translocating P-type ATPase SilP	NA	NA	GCA_036880625.1_ASM3688062v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 3	NA	NA			NA	NA	1
FHHCFB_08730	silA	Cu(+)/Ag(+) efflux RND transporter permease subunit SilA	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	1048	1048	100	98.85	1048	AAD11749.1	Cu(+)/Ag(+) efflux RND transporter permease subunit SilA	NA	NA	GCA_036880625.1_ASM3688062v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 3	NA	NA			NA	NA	1
FHHCFB_08735	silB	Cu(+)/Ag(+) efflux RND transporter periplasmic adaptor subunit SilB	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	430	430	100	98.14	430	AAD11748.1	Cu(+)/Ag(+) efflux RND transporter periplasmic adaptor subunit SilB	NA	NA	GCA_036880625.1_ASM3688062v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 3	NA	NA			NA	NA	1
FHHCFB_08740	silF	Cu(+)/Ag(+) efflux RND transporter periplasmic metallochaperone SilF	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	117	117	100	99.15	117	KGL71342.1	Cu(+)/Ag(+) efflux RND transporter periplasmic metallochaperone SilF	NA	NA	GCA_036880625.1_ASM3688062v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 3	NA	NA			NA	NA	1
FHHCFB_08745	silC	Cu(+)/Ag(+) efflux RND transporter outer membrane channel SilC	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	461	461	100	98.26	461	SPD96884.1	Cu(+)/Ag(+) efflux RND transporter outer membrane channel SilC	NA	NA	GCA_036880625.1_ASM3688062v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 3	NA	NA			NA	NA	1
FHHCFB_08750	silR	copper/silver response regulator transcription factor SilR	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	226	226	100	98.67	226	SPD96883.1	copper/silver response regulator transcription factor SilR	NA	NA	GCA_036880625.1_ASM3688062v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 3	NA	NA			NA	NA	1
FHHCFB_08755	silS	copper/silver sensor histidine kinase SilS	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	491	491	100	98.17	491	SPD96882.1	copper/silver sensor histidine kinase SilS	NA	NA	GCA_036880625.1_ASM3688062v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 3	NA	NA			NA	NA	1
FHHCFB_08760	silE	silver-binding protein SilE	plus	STRESS	METAL	SILVER	SILVER	BLASTP	143	143	100	90.21	143	AAD11743.1	silver-binding protein SilE	NA	NA	GCA_036880625.1_ASM3688062v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 3	NA	NA			NA	NA	1
FHHCFB_12550	bla	class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	289	299	92.64	62.86	280	WP_063860834.1	class A beta-lactamase	NF033103.1	class A beta-lactamase	GCA_036880625.1_ASM3688062v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 3	NA	NA			NA	NA	1
FHHCFB_15610	arsC	glutaredoxin-dependent arsenate reductase	plus	STRESS	METAL	ARSENIC	ARSENATE	HMM	142	141	99.29	73.57	140	AAB09628.1	glutaredoxin-dependent arsenate reductase	NF007456.1	glutaredoxin-dependent arsenate reductase	GCA_036880625.1_ASM3688062v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	node 3	NA	NA			NA	NA	1
FKMPBA_09005	arsC	glutaredoxin-dependent arsenate reductase	plus	STRESS	METAL	ARSENIC	ARSENATE	HMM	142	141	99.29	73.57	140	AAB09628.1	glutaredoxin-dependent arsenate reductase	NF007456.1	glutaredoxin-dependent arsenate reductase	GCA_027570015.1_ASM2757001v1_genomic		Clinical	Saliva	University of Galway		NA	NA			NA	NA	1
FKMPBA_09400	oqxB	multidrug efflux RND transporter permease subunit OqxB	core	AMR	AMR	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE	BLASTP	1050	1050	99.33	90.12	1043	WP_040224644.1	multidrug efflux RND transporter permease subunit OqxB27	NF000037.1	multidrug efflux RND transporter permease subunit OqxB	GCA_027570015.1_ASM2757001v1_genomic		Clinical	Saliva	University of Galway		NA	NA			NA	NA	1
FKMPBA_15070	bla	class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	289	299	92.64	63.93	280	WP_063860834.1	class A beta-lactamase	NF033103.1	class A beta-lactamase	GCA_027570015.1_ASM2757001v1_genomic		Clinical	Saliva	University of Galway		NA	NA			NA	NA	1
FKMPBA_21880	arsC	glutaredoxin-dependent arsenate reductase	plus	STRESS	METAL	ARSENIC	ARSENATE	HMM	142	141	99.29	80	140	AAB09628.1	glutaredoxin-dependent arsenate reductase	NF007456.1	glutaredoxin-dependent arsenate reductase	GCA_027570015.1_ASM2757001v1_genomic		Clinical	Saliva	University of Galway		NA	NA			NA	NA	1
FKNMNK_03460	arsC	glutaredoxin-dependent arsenate reductase	plus	STRESS	METAL	ARSENIC	ARSENATE	HMM	142	141	99.29	73.57	140	AAB09628.1	glutaredoxin-dependent arsenate reductase	NF007456.1	glutaredoxin-dependent arsenate reductase	GCA_036880485.1_ASM3688048v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	Lab 3 overhead LAB	NA	NA			NA	NA	1
FKNMNK_05125	pcoE	copper resistance system metallochaperone PcoE	plus	STRESS	METAL	COPPER	COPPER	BLASTP	144	144	100	94.44	144	CAA58532.1	copper resistance system metallochaperone PcoE	NA	NA	GCA_036880485.1_ASM3688048v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	Lab 3 overhead LAB	NA	NA			NA	NA	1
FKNMNK_05130	pcoS	copper resistance membrane spanning protein PcoS	plus	STRESS	METAL	COPPER	COPPER	BLASTP	466	466	100	99.36	466	CAA58530.1	copper resistance membrane spanning protein PcoS	NA	NA	GCA_036880485.1_ASM3688048v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	Lab 3 overhead LAB	NA	NA			NA	NA	1
FKNMNK_05135	pcoR	copper response regulator transcription factor PcoR	plus	STRESS	METAL	COPPER	COPPER	EXACTP	226	226	100	100	226	CAA58529.1	copper response regulator transcription factor PcoR	NA	NA	GCA_036880485.1_ASM3688048v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	Lab 3 overhead LAB	NA	NA			NA	NA	1
FKNMNK_05140	pcoD	copper resistance inner membrane protein PcoD	plus	STRESS	METAL	COPPER	COPPER	BLASTP	309	309	100	99.68	309	CAA58528.1	copper resistance inner membrane protein PcoD	NA	NA	GCA_036880485.1_ASM3688048v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	Lab 3 overhead LAB	NA	NA			NA	NA	1
FKNMNK_05145	pcoC	copper resistance system metallochaperone PcoC	plus	STRESS	METAL	COPPER	COPPER	EXACTP	126	126	100	100	126	CAA58527.1	copper resistance system metallochaperone PcoC	NA	NA	GCA_036880485.1_ASM3688048v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	Lab 3 overhead LAB	NA	NA			NA	NA	1
FKNMNK_05150	pcoB	copper-binding protein PcoB	plus	STRESS	METAL	COPPER	COPPER	BLASTP	298	296	100	99.66	296	CAA58526.1	copper-binding protein PcoB	NA	NA	GCA_036880485.1_ASM3688048v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	Lab 3 overhead LAB	NA	NA			NA	NA	1
FKNMNK_05155	pcoA	multicopper oxidase PcoA	plus	STRESS	METAL	COPPER	COPPER	BLASTP	605	605	100	99.83	605	CAA58525.1	multicopper oxidase PcoA	NA	NA	GCA_036880485.1_ASM3688048v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	Lab 3 overhead LAB	NA	NA			NA	NA	1
FKNMNK_05175	silP	Ag(+)-translocating P-type ATPase SilP	plus	STRESS	METAL	SILVER	SILVER	BLASTP	815	824	98.79	95.59	816	AAD11750.1	Ag(+)-translocating P-type ATPase SilP	NA	NA	GCA_036880485.1_ASM3688048v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	Lab 3 overhead LAB	NA	NA			NA	NA	1
FKNMNK_05185	silA	Cu(+)/Ag(+) efflux RND transporter permease subunit SilA	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	1048	1048	100	98.85	1048	AAD11749.1	Cu(+)/Ag(+) efflux RND transporter permease subunit SilA	NA	NA	GCA_036880485.1_ASM3688048v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	Lab 3 overhead LAB	NA	NA			NA	NA	1
FKNMNK_05190	silB	Cu(+)/Ag(+) efflux RND transporter periplasmic adaptor subunit SilB	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	430	430	100	98.14	430	AAD11748.1	Cu(+)/Ag(+) efflux RND transporter periplasmic adaptor subunit SilB	NA	NA	GCA_036880485.1_ASM3688048v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	Lab 3 overhead LAB	NA	NA			NA	NA	1
FKNMNK_05195	silF	Cu(+)/Ag(+) efflux RND transporter periplasmic metallochaperone SilF	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	117	117	100	99.15	117	KGL71342.1	Cu(+)/Ag(+) efflux RND transporter periplasmic metallochaperone SilF	NA	NA	GCA_036880485.1_ASM3688048v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	Lab 3 overhead LAB	NA	NA			NA	NA	1
FKNMNK_05200	silC	Cu(+)/Ag(+) efflux RND transporter outer membrane channel SilC	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	461	461	100	98.26	461	SPD96884.1	Cu(+)/Ag(+) efflux RND transporter outer membrane channel SilC	NA	NA	GCA_036880485.1_ASM3688048v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	Lab 3 overhead LAB	NA	NA			NA	NA	1
FKNMNK_05205	silR	copper/silver response regulator transcription factor SilR	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	226	226	100	98.67	226	SPD96883.1	copper/silver response regulator transcription factor SilR	NA	NA	GCA_036880485.1_ASM3688048v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	Lab 3 overhead LAB	NA	NA			NA	NA	1
FKNMNK_05210	silS	copper/silver sensor histidine kinase SilS	plus	STRESS	METAL	COPPER/SILVER	COPPER/SILVER	BLASTP	491	491	100	98.17	491	SPD96882.1	copper/silver sensor histidine kinase SilS	NA	NA	GCA_036880485.1_ASM3688048v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	Lab 3 overhead LAB	NA	NA			NA	NA	1
FKNMNK_05215	silE	silver-binding protein SilE	plus	STRESS	METAL	SILVER	SILVER	BLASTP	143	143	100	90.21	143	AAD11743.1	silver-binding protein SilE	NA	NA	GCA_036880485.1_ASM3688048v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	Lab 3 overhead LAB	NA	NA			NA	NA	1
FKNMNK_05775	bla	class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	289	299	92.64	62.86	280	WP_063860834.1	class A beta-lactamase	NF033103.1	class A beta-lactamase	GCA_036880485.1_ASM3688048v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	Lab 3 overhead LAB	NA	NA			NA	NA	1
FKNMNK_15560	oqxB	multidrug efflux RND transporter permease subunit OqxB	core	AMR	AMR	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE	BLASTP	1050	1050	99.33	90.12	1043	WP_040224644.1	multidrug efflux RND transporter permease subunit OqxB27	NF000037.1	multidrug efflux RND transporter permease subunit OqxB	GCA_036880485.1_ASM3688048v1_genomic		ISS	ISS-Internal Surface	Jet Propulsion Laboratory, California Institute of Technology	Lab 3 overhead LAB	NA	NA			NA	NA	1
HBANDA_08065	bla	class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	289	299	92.64	63.21	280	WP_063860834.1	class A beta-lactamase	NF033103.1	class A beta-lactamase	GCA_036726665.1_ASM3672666v1_genomic		Enviornmental	Urban	Helmholtz-Centre for Environmental Research - UFZ		NA	NA			NA	NA	1
HBANDA_13390	arsC	glutaredoxin-dependent arsenate reductase	plus	STRESS	METAL	ARSENIC	ARSENATE	HMM	142	141	99.29	74.29	140	AAB09628.1	glutaredoxin-dependent arsenate reductase	NF007456.1	glutaredoxin-dependent arsenate reductase	GCA_036726665.1_ASM3672666v1_genomic		Enviornmental	Urban	Helmholtz-Centre for Environmental Research - UFZ		NA	NA			NA	NA	1
HBANDA_19860	oqxB	multidrug efflux RND transporter permease subunit OqxB	core	AMR	AMR	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE	BLASTP	1050	1050	99.33	90.12	1043	WP_040224644.1	multidrug efflux RND transporter permease subunit OqxB27	NF000037.1	multidrug efflux RND transporter permease subunit OqxB	GCA_036726665.1_ASM3672666v1_genomic		Enviornmental	Urban	Helmholtz-Centre for Environmental Research - UFZ		NA	NA			NA	NA	1
HCHGML_03010	oqxB	multidrug efflux RND transporter permease subunit OqxB	core	AMR	AMR	PHENICOL/QUINOLONE	PHENICOL/QUINOLONE	BLASTP	1050	1050	99.33	90.12	1043	WP_040224644.1	multidrug efflux RND transporter permease subunit OqxB27	NF000037.1	multidrug efflux RND transporter permease subunit OqxB	GCA_032061285.1_ASM3206128v1_genomic		Enviornmental	Urban	Helmholtz-Centre for Environmental Research - UFZ		NA	NA			NA	NA	1
HCHGML_03405	arsC	glutaredoxin-dependent arsenate reductase	plus	STRESS	METAL	ARSENIC	ARSENATE	HMM	142	141	99.29	73.57	140	AAB09628.1	glutaredoxin-dependent arsenate reductase	NF007456.1	glutaredoxin-dependent arsenate reductase	GCA_032061285.1_ASM3206128v1_genomic		Enviornmental	Urban	Helmholtz-Centre for Environmental Research - UFZ		NA	NA			NA	NA	1
HCHGML_15960	bla	class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	HMM	289	299	92.64	62.86	280	WP_063860834.1	class A beta-lactamase	NF033103.1	class A beta-lactamase	GCA_032061285.1_ASM3206128v1_genomic		Enviornmental	Urban	Helmholtz-Centre for Environmental Research - UFZ		NA	NA			NA	NA	1
